,dt_1,dE_1,power.rails.gpu,dt_21,dE_21,power.rails.display,dt_14,dE_14,power.rails.cpu.big,dt_13,dE_13,power.rails.cpu.mid,dt_15,dE_15,power.rails.cpu.little,dt_3,dE_3,power.rails.ddr.a,dt_8,dE_8,power.rails.ddr.b,dt_2,dE_2,power.rails.ddr.c,dt_12,dE_12,power.rails.memory.interface,dt_17,dE_17,power.rails.ldo.main.a,dt_19,dE_19,power.rails.ldo.main.b,dt_7,dE_7,power.rails.ldo.sub
0,0.405,0.0031249999999999997,0.007716049382716048,0.405,0.083632,0.20649876543209875,0.405,0.035552,0.08778271604938272,0.405,0.038014,0.09386172839506172,0.405,0.079474,0.1962320987654321,0.405,0.005020999999999999,0.012397530864197528,0.405,0.006652,0.01642469135802469,0.405,0.02462,0.06079012345679012,0.405,0.022836,0.05638518518518518,0.405,0.027017,0.06670864197530864,0.405,0.01978,0.0488395061728395,0.405,0.023767,0.058683950617283945
1,0.24500000000000002,0.0010329999999999998,0.004216326530612244,0.24500000000000002,0.040184,0.1640163265306122,0.24500000000000002,0.000236,0.0009632653061224488,0.24500000000000002,0.0005859999999999999,0.002391836734693877,0.24500000000000002,0.008924999999999999,0.03642857142857142,0.24500000000000002,0.001624,0.006628571428571428,0.24500000000000002,0.001713,0.0069918367346938765,0.24500000000000002,0.004023,0.0164204081632653,0.24500000000000002,0.0033699999999999997,0.013755102040816324,0.24500000000000002,0.012135,0.04953061224489796,0.24500000000000002,0.011273,0.04601224489795918,0.24500000000000002,0.007045999999999999,0.02875918367346938
2,0.24700000000000003,0.000224,0.0009068825910931173,0.24700000000000003,0.052216,0.21140080971659916,0.24700000000000003,0.024485,0.09912955465587044,0.24700000000000003,0.00047,0.0019028340080971657,0.24700000000000003,0.015534,0.0628906882591093,0.24700000000000003,0.0021869999999999997,0.008854251012145747,0.24700000000000003,0.001753,0.007097165991902833,0.24700000000000003,0.007961,0.03223076923076922,0.24700000000000003,0.00616,0.024939271255060725,0.24700000000000003,0.012803,0.051834008097165984,0.24700000000000003,0.011576999999999999,0.04687044534412955,0.24700000000000003,0.006456,0.026137651821862347
3,0.319,0.00029,0.0009090909090909091,0.319,0.066056,0.20707210031347964,0.319,0.0,0.0,0.319,0.00094,0.002946708463949843,0.319,0.01286,0.04031347962382445,0.319,0.002257,0.007075235109717868,0.319,0.002823,0.008849529780564263,0.319,0.005934999999999999,0.01860501567398119,0.319,0.005065,0.015877742946708465,0.319,0.01512,0.047398119122257054,0.319,0.014889999999999999,0.04667711598746081,0.319,0.008468,0.026545454545454546
4,0.18400000000000002,0.000178,0.0009673913043478259,0.18400000000000002,0.023984,0.1303478260869565,0.18400000000000002,0.0036249999999999998,0.019701086956521736,0.18400000000000002,0.000707,0.0038423913043478253,0.18400000000000002,0.006163999999999999,0.033499999999999995,0.18400000000000002,0.001241,0.006744565217391303,0.18400000000000002,0.001433,0.007788043478260869,0.18400000000000002,0.002763,0.015016304347826083,0.18400000000000002,0.0022689999999999997,0.012331521739130432,0.18400000000000002,0.008570999999999999,0.046581521739130424,0.18400000000000002,0.008537,0.04639673913043477,0.18400000000000002,0.004932,0.02680434782608695
5,0.251,0.000236,0.0009402390438247012,0.25,0.061592999999999995,0.24637199999999998,0.25,0.0,0.0,0.25,0.000513,0.002052,0.25,0.005934999999999999,0.023739999999999997,0.251,0.0016849999999999999,0.006713147410358565,0.251,0.001576,0.006278884462151394,0.251,0.0035689999999999997,0.014219123505976095,0.25,0.002817,0.011268,0.25,0.011389999999999999,0.045559999999999996,0.25,0.011526999999999999,0.046107999999999996,0.251,0.006232,0.02482868525896414
6,0.24600000000000002,0.000223,0.0009065040650406503,0.24800000000000003,0.033499,0.13507661290322578,0.24800000000000003,0.0,0.0,0.24800000000000003,0.000685,0.0027620967741935477,0.24800000000000003,0.010576,0.04264516129032258,0.24600000000000002,0.001753,0.007126016260162601,0.24600000000000002,0.0018789999999999998,0.0076382113821138195,0.24600000000000002,0.003754,0.015260162601626015,0.24800000000000003,0.003313,0.013358870967741934,0.24800000000000003,0.011757,0.04740725806451612,0.24800000000000003,0.011543,0.04654435483870967,0.24600000000000002,0.006375,0.02591463414634146
7,0.304,0.000277,0.0009111842105263159,0.303,0.065372,0.21574917491749177,0.303,0.0,0.0,0.303,0.000603,0.00199009900990099,0.303,0.012319,0.04065676567656766,0.304,0.0019979999999999998,0.0065723684210526314,0.304,0.0022619999999999997,0.00744078947368421,0.304,0.0044859999999999995,0.01475657894736842,0.303,0.003932,0.012976897689768976,0.303,0.013911,0.04591089108910891,0.303,0.013953,0.04604950495049505,0.304,0.007742,0.025467105263157895
8,0.195,0.000167,0.0008564102564102564,0.195,0.035012,0.17954871794871796,0.195,0.0,0.0,0.195,0.000374,0.0019179487179487179,0.195,0.0078049999999999994,0.040025641025641025,0.195,0.0012749999999999999,0.006538461538461537,0.195,0.0012029999999999999,0.006169230769230768,0.195,0.0027129999999999997,0.013912820512820511,0.195,0.002401,0.012312820512820512,0.195,0.009099,0.046661538461538456,0.195,0.009016999999999999,0.04624102564102563,0.195,0.005056,0.025928205128205126
9,0.252,0.003398,0.013484126984126984,0.255,0.052891,0.2074156862745098,0.255,0.000178,0.0006980392156862744,0.255,0.013508,0.05297254901960784,0.255,0.026368,0.10340392156862745,0.252,0.001803,0.007154761904761904,0.252,0.005665,0.02248015873015873,0.252,0.007194,0.028547619047619047,0.255,0.007624,0.029898039215686272,0.255,0.014570999999999999,0.05714117647058823,0.255,0.012052,0.04726274509803922,0.252,0.014195,0.056329365079365076
10,0.254,0.001168,0.004598425196850393,0.252,0.055265999999999996,0.2193095238095238,0.252,0.0,0.0,0.252,0.004183,0.01659920634920635,0.252,0.012544,0.049777777777777775,0.254,0.001687,0.006641732283464566,0.254,0.003211,0.012641732283464567,0.254,0.004725,0.01860236220472441,0.252,0.004071,0.016154761904761904,0.252,0.012733,0.050527777777777776,0.252,0.011769,0.046702380952380954,0.254,0.009290999999999999,0.03657874015748031
11,0.308,0.00028399999999999996,0.0009220779220779219,0.307,0.051245,0.16692182410423453,0.307,0.0,0.0,0.307,0.0008049999999999999,0.0026221498371335502,0.307,0.013028999999999999,0.04243973941368078,0.308,0.002058,0.006681818181818182,0.308,0.002446,0.00794155844155844,0.308,0.004574,0.01485064935064935,0.307,0.004116,0.013407166123778501,0.307,0.014414999999999999,0.04695439739413681,0.307,0.014159999999999999,0.04612377850162866,0.308,0.007847999999999999,0.02548051948051948
